epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,638.797,1.02902,3.61825,1.1402,0.25567,0.22276,0.18333,0.14178,0.78525,3.14498,0.97287,0.00023562,0.00023562,0.00023562
2,1202.79,0.82384,2.37289,1.0047,0.36141,0.57665,0.45001,0.35497,0.70085,2.26495,0.93235,0.000461898,0.000461898,0.000461898
3,1733.98,0.76534,1.85622,0.96549,0.53988,0.64677,0.61373,0.49486,0.68296,1.82801,0.90035,0.000676395,0.000676395,0.000676395
4,2276.36,0.73037,1.52201,0.94664,0.67355,0.74476,0.77367,0.63481,0.64593,1.66494,0.89933,0.000660986,0.000660986,0.000660986
5,2870.2,0.68465,1.23981,0.93231,0.87828,0.85095,0.92125,0.79893,0.55268,1.0753,0.8457,0.000643314,0.000643314,0.000643314
6,3453.07,0.65318,1.08388,0.92153,0.84076,0.86785,0.91384,0.78853,0.54603,1.01261,0.85594,0.000625642,0.000625642,0.000625642
7,4056.49,0.62703,0.93704,0.90968,0.94201,0.89268,0.963,0.85265,0.49491,0.80812,0.83864,0.000607971,0.000607971,0.000607971
