epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1387.98,1.66182,2.05499,1.63753,0.44213,0.40245,0.37666,0.14771,2.03819,2.21089,2.01646,0.000664564,0.000664564,0.000664564
2,3042.99,1.79121,2.06815,1.78033,0.19286,0.21491,0.08919,0.02473,2.41961,3.25948,2.58573,0.0012873,0.0012873,0.0012873
3,4413.39,1.81887,2.02745,1.79092,0.4284,0.45312,0.37554,0.14314,1.98989,2.19659,1.95947,0.00186604,0.00186604,0.00186604
4,5863.73,1.78522,1.99294,1.76172,0.48661,0.46069,0.44764,0.18507,1.98133,1.92619,1.89162,0.001802,0.001802,0.001802
5,7604.97,1.73493,1.94227,1.74619,0.54547,0.51427,0.52793,0.22463,1.88902,1.79538,1.8633,0.001736,0.001736,0.001736
